airline,dep_airport,arr_airport,aircraft_type,month,day_of_week,dep_hour,weather_severity,wind_speed,visibility,congestion,distance,prev_delay,delay_minutes,is_delayed
DL,MIA,MCO,787,8,0,15,1,45,2.6,10,1945,35,15,0
F9,MCO,CLT,E175,9,4,13,4,56,0.3,9,874,24,23,1
DL,LGA,ATL,737MAX,2,6,22,1,42,0.6,3,1505,23,7,0
B6,JFK,MSP,A319,11,5,22,1,70,9.8,9,988,19,14,0
AS,SEA,MSP,787,7,0,17,3,55,9.0,1,728,29,12,0
AA,LAS,CLT,737MAX,2,1,21,6,50,1.8,1,354,2,16,1
F9,BOS,LGA,737,3,5,6,7,54,1.8,2,1132,56,14,0
UA,SEA,CLT,A350,5,2,5,2,34,2.6,8,2838,15,7,0
WN,DEN,MCO,E175,7,1,11,7,32,2.3,3,1214,35,19,1
AA,MCO,DEN,737MAX,4,2,14,3,11,8.3,5,1233,8,9,0
DL,EWR,ORD,A350,4,1,16,1,73,5.8,7,427,80,25,1
AA,SEA,LAX,777,9,6,13,6,3,1.5,2,954,74,2,0
AS,MSP,BOS,737MAX,4,0,10,1,36,6.6,10,887,86,6,0
UA,SEA,LAX,E175,12,4,11,1,25,4.2,10,954,1,5,0
WN,LGA,JFK,A320,3,4,8,10,28,4.0,8,2358,35,15,0
UA,LAX,CLT,A350,8,5,9,1,35,5.5,3,2062,80,15,0
AS,PHX,LGA,A319,2,0,6,9,72,3.7,1,1540,60,15,0
NK,ORD,DFW,A320,2,4,16,6,11,3.8,1,1340,73,23,1
AA,DTW,MCO,A350,12,5,20,3,7,6.5,1,2050,79,8,0
AA,EWR,CLT,E175,11,1,13,10,15,9.3,7,2117,84,19,1
AS,SFO,MCO,A320,5,6,13,8,58,9.5,2,1289,38,20,1
NK,DTW,LAS,737MAX,8,2,16,3,36,5.4,10,482,86,6,0
WN,SFO,CLT,777,8,0,8,9,12,6.4,10,1431,65,20,1
UA,SFO,MCO,A319,4,4,21,9,15,8.8,9,565,29,14,0
AA,SFO,DEN,A320,1,5,21,8,29,8.6,2,2281,36,11,0
AA,DFW,PHX,A319,11,1,9,6,38,8.8,8,310,61,15,0
B6,LAX,SEA,A321,4,3,12,6,73,0.7,9,954,40,22,1
AS,DEN,ATL,A380,6,6,21,3,19,10.0,10,2766,49,7,0
DL,DTW,ORD,A350,3,5,17,9,72,9.0,5,1590,55,17,1
AA,ORD,LAX,A350,12,1,13,9,4,7.4,2,1283,78,12,0
AS,SEA,DEN,A319,10,1,10,5,76,8.5,8,1024,61,19,1
F9,SEA,LAX,737,8,2,17,6,18,8.7,1,954,58,13,0
F9,MIA,LAS,A321,11,4,14,6,59,1.8,10,1354,22,21,1
DL,DFW,LAX,737,12,6,6,9,16,1.4,2,999,63,16,1
F9,PHX,ORD,E175,6,2,11,9,62,4.1,5,1288,21,19,1
DL,DFW,MSP,E175,12,5,21,6,64,0.8,8,2557,49,20,1
AS,MCO,EWR,A321,4,2,7,7,28,0.5,6,2426,31,16,1
DL,LAX,MCO,737,2,4,8,3,12,8.6,7,2504,74,15,0
WN,LAX,CLT,A320,4,5,15,1,55,4.5,5,2650,79,14,0
UA,JFK,SFO,737,2,4,7,9,23,3.8,8,1383,45,24,1
AA,DTW,SEA,A321,11,5,22,7,2,8.0,5,1859,59,17,1
WN,DFW,BOS,A350,6,0,6,8,10,9.8,1,371,20,18,1
DL,MSP,LAS,A380,6,2,17,1,40,0.6,6,1411,40,15,0
AS,JFK,LGA,737MAX,8,1,5,1,32,8.9,1,2936,25,1,0
AS,SFO,LAX,E175,6,6,18,2,14,2.2,7,337,48,14,0
AA,SFO,BOS,A350,2,3,12,2,61,7.9,7,758,83,17,1
F9,DFW,SFO,A380,10,5,7,10,13,1.0,6,2434,11,12,0
NK,EWR,ATL,A350,2,2,9,9,58,6.6,10,1054,34,18,1
B6,MCO,JFK,A319,7,3,21,10,60,8.5,5,815,19,29,1
UA,MIA,DFW,A321,10,4,6,2,78,9.0,6,594,41,17,1
UA,EWR,ORD,737,2,4,19,3,25,7.2,7,1239,13,11,0
AS,MCO,LAS,787,8,6,6,6,16,4.1,9,327,65,18,1
UA,DEN,ATL,787,1,3,8,10,66,4.6,10,1928,9,16,1
B6,SEA,EWR,A319,12,0,15,5,75,4.9,1,1955,43,17,1
F9,MCO,CLT,737MAX,6,3,22,9,36,9.4,1,2466,34,16,1
B6,JFK,MSP,E175,3,5,16,4,52,4.9,2,516,49,13,0
B6,SFO,CLT,777,11,1,16,4,22,0.5,4,1659,49,17,1
DL,JFK,MIA,777,6,4,19,2,64,8.4,10,1090,73,15,0
AS,MSP,DTW,737,10,6,12,8,45,9.2,1,1610,79,16,1
AA,LAX,SFO,A380,9,0,13,9,76,3.1,4,337,3,22,1
AS,ATL,LAX,787,2,4,13,3,74,3.9,6,754,88,22,1
DL,SFO,CLT,737,5,2,5,1,34,2.5,10,1261,45,5,0
AA,ORD,MIA,A319,2,5,16,2,47,5.9,4,342,47,19,1
WN,LGA,LAS,787,5,6,15,5,14,2.6,3,623,20,15,0
B6,LAX,MCO,A320,4,4,18,8,15,1.1,2,301,48,14,0
WN,BOS,SFO,E175,7,6,21,10,55,9.6,4,2098,53,20,1
AA,EWR,LAS,787,10,6,17,6,20,8.9,9,820,14,7,0
B6,BOS,SEA,A321,8,0,9,2,23,8.3,7,445,18,15,0
WN,BOS,JFK,737,7,1,9,3,32,2.4,1,187,47,8,0
NK,LGA,BOS,A380,9,5,17,9,1,2.9,7,1877,38,16,1
AA,DTW,LGA,A320,7,3,18,4,41,9.1,4,1043,35,10,0
UA,ATL,BOS,737,7,3,17,2,59,8.1,5,2035,49,11,0
UA,EWR,ORD,787,6,5,6,2,34,7.4,4,961,43,16,1
NK,CLT,BOS,737,9,6,20,8,2,9.3,7,647,4,18,1
WN,SEA,PHX,777,1,0,10,2,71,7.6,1,1312,15,5,0
B6,LAS,DFW,737MAX,1,6,22,9,1,9.4,9,2796,74,15,0
UA,DFW,SFO,777,3,5,15,5,11,9.3,10,893,44,16,1
AS,LAS,ATL,A380,3,6,18,5,34,1.9,2,2111,81,14,0
F9,BOS,LAX,A321,9,4,5,1,79,7.7,4,2830,40,17,1
DL,SEA,LAX,A321,4,0,19,4,17,3.0,6,954,42,14,0
AS,LAX,ATL,A380,3,1,14,2,10,7.6,8,1786,72,2,0
B6,MIA,MCO,737,3,6,20,4,3,10.0,1,2448,51,9,0
B6,DFW,SFO,A321,7,1,9,3,6,5.4,6,1849,70,14,0
AS,LAX,SFO,A319,5,1,11,1,12,0.4,2,337,84,12,0
B6,MSP,DEN,737,4,0,7,5,51,2.8,5,2857,67,14,0
DL,SEA,ORD,E175,9,4,10,5,41,8.9,9,2539,16,13,0
F9,MIA,BOS,737,1,1,20,10,57,2.7,8,1088,27,28,1
UA,SEA,MSP,A320,1,3,17,5,31,9.9,7,2448,7,15,0
B6,SEA,EWR,A350,1,4,7,1,4,5.2,8,2250,10,5,0
DL,DEN,ATL,737,6,1,10,8,24,9.8,2,1262,48,15,0
WN,DFW,MCO,E175,9,0,22,5,35,3.1,8,1069,12,18,1
F9,LAX,EWR,A350,10,6,21,2,54,1.2,8,2150,77,21,1
WN,MSP,EWR,A350,3,5,21,5,31,3.3,7,2844,11,10,0
B6,SEA,MCO,787,8,5,11,6,21,9.9,6,1069,28,10,0
B6,MCO,CLT,777,3,6,16,5,60,7.5,3,1002,18,18,1
B6,MCO,SEA,A350,10,1,20,1,4,8.8,4,1806,63,9,0
DL,LAX,EWR,787,9,1,18,2,40,3.9,9,2847,35,6,0
UA,ATL,DEN,A321,10,3,19,4,9,8.9,3,2128,84,7,0
AS,SEA,SFO,A321,5,1,10,9,44,1.2,7,2930,3,22,1
B6,CLT,DFW,737MAX,8,5,6,3,30,0.5,3,2201,82,15,0
AS,PHX,EWR,A320,10,5,8,4,54,7.4,1,1469,62,12,0
UA,MCO,LGA,737,9,3,17,1,69,6.5,6,1882,77,10,0
WN,LGA,SFO,A319,9,1,20,9,60,9.8,3,1272,69,13,0
B6,BOS,ORD,A319,10,2,9,4,48,4.5,5,2703,69,14,0
DL,DFW,SEA,737,7,1,7,8,56,0.3,9,1505,45,18,1
NK,DFW,PHX,A320,10,5,11,7,13,2.7,6,2314,88,15,0
B6,ATL,PHX,A350,9,4,8,4,56,3.6,2,2310,6,13,0
F9,LGA,CLT,E175,7,4,14,8,13,7.4,10,2368,81,18,1
B6,ORD,ATL,A380,8,0,16,9,32,1.7,4,606,70,23,1
F9,LAX,EWR,737,9,6,21,2,69,2.5,2,1152,4,22,1
DL,CLT,LAX,A320,10,1,20,7,75,0.9,8,1617,59,22,1
UA,DTW,SFO,A321,5,3,8,6,14,2.2,5,2426,85,14,0
WN,LAS,MIA,737MAX,8,1,21,9,2,9.1,1,1877,5,7,0
UA,MSP,LGA,A350,3,4,15,10,7,3.0,9,2511,84,12,0
F9,MIA,CLT,A321,8,1,14,6,11,1.9,3,558,26,10,0
F9,SEA,DEN,A321,12,2,9,6,18,8.9,7,1024,62,10,0
B6,PHX,LAX,E175,4,3,10,7,26,6.9,3,2700,67,11,0
AS,DEN,ORD,A321,12,4,13,6,49,1.3,9,920,65,19,1
NK,EWR,PHX,777,9,4,6,3,75,3.5,10,2503,89,22,1
WN,LAX,BOS,E175,3,6,22,9,22,6.3,6,2620,68,14,0
WN,LGA,CLT,A321,11,2,5,2,65,3.3,8,455,46,18,1
WN,JFK,MIA,A321,7,6,7,10,24,2.4,5,1090,56,19,1
B6,LAS,MCO,787,4,3,21,9,76,9.0,3,945,22,15,0
AS,ATL,MCO,A320,4,4,12,3,29,8.1,4,2204,24,3,0
F9,LAS,ATL,A380,7,5,20,3,50,8.3,3,2631,83,16,1
AA,MCO,LAS,A350,8,5,8,1,29,0.7,1,2436,13,11,0
UA,ORD,BOS,A321,11,5,13,4,7,8.8,6,1955,54,15,0
F9,EWR,ORD,A319,11,5,22,5,68,2.7,5,2286,43,18,1
AA,MIA,BOS,737MAX,4,2,21,8,64,0.5,7,1747,75,22,1
NK,MIA,SEA,A321,5,2,10,9,28,6.5,7,1778,27,17,1
WN,EWR,LAS,737MAX,3,5,16,8,33,4.9,9,2092,71,17,1
AA,MSP,DTW,A320,12,5,12,10,64,4.6,1,1166,39,18,1
AS,ORD,DTW,777,4,0,17,1,45,0.7,8,854,19,13,0
B6,DTW,BOS,A380,11,5,13,8,36,3.0,1,1155,20,10,0
UA,SFO,BOS,A320,7,4,15,1,39,4.4,8,755,60,19,1
F9,JFK,LAS,A350,10,6,9,9,45,0.7,7,2010,83,31,1
DL,MSP,LAX,A321,4,5,5,2,18,6.1,8,1407,75,6,0
NK,LAX,BOS,E175,10,1,15,2,50,9.2,9,1863,2,11,0
WN,ATL,LAX,A350,6,2,20,2,40,4.4,3,2582,64,14,0
B6,DTW,ATL,737MAX,12,4,15,4,44,2.9,5,2321,29,13,0
WN,EWR,LAX,A380,3,2,16,7,74,5.9,10,1441,32,26,1
WN,DEN,SEA,737,4,4,5,4,18,0.5,2,1024,34,24,1
UA,MCO,LGA,A319,1,0,10,8,33,8.5,8,1132,30,10,0
B6,ORD,EWR,777,4,1,18,10,50,0.5,5,841,41,25,1
B6,DEN,LGA,787,12,4,7,6,67,9.9,9,2716,28,11,0
F9,DFW,ATL,737MAX,5,0,21,6,52,8.4,3,730,31,6,0
B6,DTW,LAS,787,12,4,16,4,0,5.9,8,2830,12,11,0
UA,DTW,ORD,777,12,1,12,9,23,6.3,5,1298,84,24,1
F9,DEN,MSP,777,5,3,6,6,20,7.5,7,775,4,6,0
AS,EWR,ATL,A321,1,2,20,6,54,3.9,6,1910,32,18,1
AS,MCO,LGA,737,9,2,22,3,52,9.8,2,903,50,14,0
NK,PHX,ORD,737,9,3,17,1,71,0.9,6,1646,58,27,1
B6,PHX,CLT,A320,7,1,15,6,9,1.6,5,2299,75,13,0
F9,MCO,ORD,E175,3,1,12,1,70,0.3,3,1388,35,19,1
AA,DEN,JFK,A350,5,4,12,5,59,6.7,1,846,65,12,0
DL,LAS,MCO,A320,4,5,10,8,2,6.4,2,2392,60,6,0
UA,ATL,DTW,E175,2,0,6,6,59,1.7,10,1336,55,16,1
NK,ORD,MIA,A319,7,5,11,7,64,5.6,5,1856,18,13,0
B6,DTW,BOS,777,10,3,12,4,19,6.9,2,2759,52,7,0
NK,DFW,LAS,737MAX,11,6,12,7,30,3.0,2,653,74,21,1
AA,EWR,MSP,E175,9,6,21,10,17,2.9,6,2556,86,15,0
AS,DEN,PHX,A380,9,4,15,1,18,5.8,2,727,67,18,1
WN,MSP,MCO,777,3,4,21,8,75,6.8,1,770,89,23,1
AA,BOS,CLT,A319,7,4,15,1,23,7.7,1,730,24,10,0
AS,MIA,PHX,A319,5,1,21,6,47,4.0,9,1678,46,13,0
UA,EWR,MIA,737MAX,12,6,13,5,12,4.3,2,948,72,8,0
AS,LGA,JFK,737MAX,4,4,17,9,7,6.6,2,1351,69,10,0
F9,JFK,DEN,A320,5,3,15,9,48,1.3,10,2912,43,30,1
NK,BOS,MCO,777,5,5,6,1,13,4.3,9,686,16,8,0
B6,LGA,DFW,737,10,3,10,4,27,2.9,1,2451,57,12,0
WN,BOS,CLT,777,9,1,9,7,24,7.8,10,2866,56,17,1
NK,DFW,CLT,A350,3,0,15,1,71,2.3,4,915,66,13,0
B6,MIA,LAX,787,2,3,17,10,3,9.6,9,930,4,23,1
UA,MCO,MIA,787,1,2,16,10,56,6.3,10,2854,44,22,1
UA,LGA,LAS,737,5,3,19,1,46,9.2,8,2023,56,15,0
DL,DTW,DEN,A350,4,3,13,6,32,9.6,2,2362,60,11,0
DL,LAS,DEN,E175,6,5,22,3,5,4.6,1,2678,76,0,0
WN,ATL,BOS,A350,4,2,20,10,61,5.8,5,1924,17,22,1
UA,ATL,SFO,737,4,3,6,5,79,9.8,7,819,12,18,1
WN,MCO,JFK,A321,11,6,21,8,43,0.4,10,1936,27,24,1
DL,LGA,BOS,777,12,1,12,5,26,0.5,3,1976,44,11,0
F9,LAX,JFK,737,9,4,11,3,19,7.6,3,2475,44,6,0
WN,MSP,DFW,E175,1,1,5,10,19,1.2,10,614,74,16,1
AA,DTW,LAX,A321,8,4,13,5,10,5.7,5,2446,75,15,0
DL,PHX,SFO,A319,7,6,12,5,77,7.9,10,383,14,10,0
F9,MIA,DTW,A380,3,6,18,4,14,8.8,1,1690,23,11,0
UA,SEA,DFW,A321,2,4,14,3,33,8.8,7,2975,22,9,0
B6,MIA,ATL,A350,5,0,14,7,37,0.3,4,1838,50,17,1
AS,MCO,DFW,A320,12,3,10,4,40,8.5,7,2149,49,6,0
AA,CLT,MCO,A350,6,3,11,6,53,6.0,1,571,58,9,0
NK,BOS,LGA,737,11,1,13,10,16,6.1,4,1434,24,14,0
AA,JFK,DEN,A350,1,0,6,7,69,9.2,7,1701,38,12,0
B6,DTW,LAX,777,11,0,13,6,51,1.8,1,860,75,13,0
F9,JFK,MSP,A321,3,1,19,4,17,0.4,4,2835,77,24,1
DL,JFK,MCO,A350,2,4,8,3,5,5.6,1,1491,82,2,0
F9,ATL,MIA,E175,3,2,16,9,19,6.9,7,1837,21,13,0
UA,DEN,MIA,737MAX,7,5,7,7,50,0.4,8,412,11,14,0
UA,EWR,MSP,A380,6,0,9,5,58,3.7,2,318,85,13,0
B6,LAX,CLT,A321,7,3,5,6,6,6.4,7,427,53,12,0
AA,SEA,LGA,E175,1,1,10,5,27,4.2,5,1791,40,8,0
AA,DTW,EWR,E175,7,2,7,2,34,2.9,8,2933,37,13,0
NK,MCO,ATL,777,4,2,13,4,18,6.3,2,1737,52,9,0
DL,ORD,SFO,737,11,1,13,6,58,2.9,2,712,67,17,1
UA,DFW,LAX,737,9,4,5,4,6,2.7,4,382,0,10,0
DL,DFW,BOS,777,10,5,20,1,73,0.3,6,989,34,19,1
WN,MIA,MSP,E175,11,0,13,2,39,6.6,5,450,51,11,0
NK,JFK,MCO,737MAX,5,2,20,8,74,4.7,3,1637,32,19,1
F9,BOS,ATL,A350,3,3,17,3,73,5.3,7,2211,7,16,1
UA,LAS,BOS,A380,1,0,10,7,59,3.8,6,2896,8,17,1
UA,ATL,MIA,A319,4,1,15,2,62,3.1,10,1528,3,15,0
AS,SFO,EWR,737,6,3,19,7,2,4.2,2,420,0,15,0
WN,MSP,SFO,A321,3,4,19,3,34,8.1,1,495,11,10,0
WN,BOS,LAS,A321,7,5,9,10,48,5.2,7,2444,84,19,1
AA,DEN,LGA,787,7,0,16,3,29,4.5,6,2804,28,16,1
NK,DEN,LAS,787,4,6,20,1,65,5.4,2,1929,21,6,0
AS,LGA,BOS,A320,3,5,14,4,33,5.3,7,2594,46,11,0
AS,MCO,SEA,737,11,4,13,1,18,6.9,8,2522,64,6,0
B6,JFK,ORD,A350,1,4,11,10,16,2.3,5,740,66,13,0
NK,DTW,SFO,737,5,0,21,9,2,5.7,5,2326,31,15,0
AS,MIA,JFK,A380,9,5,20,3,50,3.0,7,1090,28,15,0
UA,LAX,BOS,A380,3,2,18,8,17,9.0,2,2881,5,15,0
WN,MCO,MSP,777,2,1,17,4,63,9.4,10,2670,82,10,0
UA,LAS,SEA,A321,11,6,8,10,29,2.4,1,2695,30,19,1
NK,CLT,DFW,787,8,0,9,10,63,7.2,7,1588,5,22,1
B6,DTW,CLT,A319,7,6,7,10,35,8.6,5,1793,61,18,1
B6,LGA,DTW,737MAX,8,2,12,10,43,7.5,1,2861,49,11,0
WN,MSP,DTW,A320,6,0,19,6,66,6.5,1,2315,27,9,0
UA,DFW,SEA,A319,6,1,11,4,22,9.8,8,1663,83,10,0
WN,JFK,MIA,A319,1,4,10,3,78,5.7,8,1090,49,16,1
AS,SEA,SFO,737MAX,8,4,10,2,7,2.7,6,1192,37,15,0
F9,EWR,LGA,A320,11,4,14,3,14,3.2,1,1311,74,17,1
UA,CLT,ORD,A350,6,5,18,2,48,7.7,7,2554,57,12,0
UA,ORD,DTW,A320,5,4,14,9,67,9.9,3,2421,60,14,0
UA,LGA,MCO,A319,2,6,9,3,20,9.8,4,2081,41,8,0
WN,ATL,MCO,787,11,2,22,6,74,1.9,5,1748,58,24,1
DL,JFK,SEA,A350,4,0,19,6,46,4.7,2,733,32,17,1
NK,LGA,CLT,A320,12,5,10,8,12,1.7,5,1244,65,19,1
F9,EWR,SEA,A350,11,5,12,10,29,9.2,4,927,54,19,1
F9,LAS,LGA,A350,7,4,19,5,72,10.0,4,2128,80,22,1
F9,MCO,LAS,A319,4,3,11,7,11,8.2,10,1224,18,10,0
AS,LGA,LAX,E175,2,6,16,2,19,0.8,8,1205,31,13,0
UA,DEN,MIA,A350,8,3,12,8,59,8.3,1,936,12,13,0
F9,DFW,ATL,737MAX,10,5,8,6,21,5.0,7,730,45,10,0
AS,BOS,SEA,787,8,2,16,1,64,4.7,10,1124,54,17,1
DL,LAX,BOS,737MAX,6,4,20,3,75,7.8,10,1594,78,26,1
AA,MIA,SEA,A380,4,1,22,6,59,3.8,3,347,17,13,0
F9,SFO,DFW,737,11,0,12,1,5,5.8,9,2535,89,10,0
WN,SFO,MIA,777,9,4,10,8,52,3.0,3,1560,79,24,1
AS,ATL,MIA,A320,7,5,10,10,2,9.0,1,1126,30,3,0
WN,MIA,SFO,E175,6,3,17,2,48,6.4,1,2273,35,15,0
AA,JFK,CLT,737MAX,1,1,12,7,45,6.2,10,1434,58,17,1
NK,LAX,MSP,737MAX,7,4,22,5,20,0.7,1,1790,14,17,1
AA,BOS,PHX,A380,5,6,5,4,8,8.4,1,1367,74,3,0
NK,EWR,JFK,A350,9,0,12,1,41,4.1,7,2620,31,10,0
DL,SEA,ATL,A319,6,1,10,3,53,1.1,1,526,10,7,0
DL,SEA,SFO,777,12,2,21,3,55,3.3,2,1873,36,5,0
UA,DFW,MSP,A321,11,3,17,10,31,5.5,4,1570,59,15,0
UA,JFK,LGA,A350,2,0,16,8,79,4.7,6,1222,8,19,1
NK,CLT,EWR,A380,8,6,18,2,66,2.7,6,1396,25,14,0
UA,ORD,ATL,737,3,1,20,3,75,8.7,10,606,33,21,1
NK,MSP,EWR,787,7,3,20,1,65,2.1,10,448,88,23,1
B6,JFK,SFO,A321,10,1,18,9,20,5.9,10,2417,46,17,1
NK,DFW,ORD,A350,6,6,7,2,9,3.4,1,2850,74,12,0
B6,DEN,LAS,A380,6,4,9,2,64,7.1,3,2377,10,13,0
WN,EWR,PHX,A350,7,1,17,6,72,0.6,10,2304,55,24,1
WN,EWR,JFK,A319,7,5,12,1,64,1.6,10,1749,20,17,1
NK,DTW,ATL,A350,3,4,20,1,16,5.7,1,465,80,14,0
UA,LAS,MCO,777,8,4,19,1,30,3.2,3,1383,5,10,0
B6,DTW,LAX,E175,10,6,9,4,5,1.8,2,2493,3,17,1
B6,SFO,PHX,A320,7,6,15,1,34,3.7,4,1998,31,15,0
DL,CLT,EWR,787,8,4,21,2,64,4.6,4,1451,13,8,0
AS,DFW,MIA,A321,11,3,20,10,27,5.3,2,1610,2,9,0
AS,SEA,CLT,787,11,6,13,2,7,0.7,3,402,56,8,0
AS,MSP,DEN,737MAX,5,4,11,7,68,0.3,8,1957,3,17,1
B6,ATL,LGA,E175,2,6,12,9,73,5.8,8,746,66,24,1
F9,DFW,DEN,777,1,0,9,8,69,4.5,1,641,10,20,1
B6,BOS,ORD,787,9,3,16,1,17,1.4,9,1140,22,11,0
NK,LAX,LAS,E175,8,6,14,9,57,3.6,9,1348,77,13,0
UA,CLT,LAX,A319,10,2,15,5,44,3.2,1,1771,63,14,0
UA,CLT,ATL,E175,9,3,15,4,1,0.9,8,2202,45,15,0
NK,SEA,PHX,A350,11,0,21,4,7,9.3,4,929,46,11,0
B6,DEN,ORD,A321,4,6,18,3,76,5.8,5,920,54,14,0
WN,ATL,DFW,737MAX,2,5,20,5,53,0.6,3,730,33,20,1
B6,DFW,CLT,A320,4,0,11,3,37,2.6,9,447,8,6,0
F9,DFW,ATL,A319,4,6,15,6,57,0.6,2,730,41,21,1
WN,BOS,ORD,A321,9,4,6,10,1,6.3,8,2187,15,3,0
F9,LAS,SFO,A350,5,6,15,1,10,5.7,4,1733,49,9,0
UA,JFK,CLT,787,12,4,14,2,23,5.2,3,2757,74,3,0
